"File","Line","Str","Code"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\configuration\AssistantSetupDialog.java","886","Passwort:","jLabel8.setText(""Passwort:"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\configuration\BackupConfigurationDialog.java","872","Verschlüsselungspasswort:","jLabel13.setText(""Verschlüsselungspasswort:"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\configuration\BackupConfigurationDialog.java","875","bei Angabe eines Passwortes wird die Datensicherung verschlüsselt und passwortgeschützt","jLabel14.setToolTipText(""bei Angabe eines Passwortes wird die Datensicherung verschlüsselt und passwortgeschützt"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\configuration\BackupConfigurationDialog.java","1057","Zielordner:","jLabel10.setText(""Zielordner:"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\configuration\BackupConfigurationDialog.java","1138","Zielordner auf dem Server:","jLabel12.setText(""Zielordner auf dem Server:"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\configuration\BankstatementCsvConfigDialog.java","941","für nicht vorhandene Spalten bitte \","jLabel13.setToolTipText(""für nicht vorhandene Spalten bitte \""-1\"" wählen"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\configuration\BeaConfigurationDialog.java","714","Einstellungen beA-Schnittstelle","setTitle(""Einstellungen beA-Schnittstelle""); // NOI18N"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\configuration\CalendarEntryTemplatesDialog.java","770","Vorlagen für Wiedervorlagen, Fristen und Termine","setTitle(""Vorlagen für Wiedervorlagen, Fristen und Termine"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\configuration\CalendarEntryTemplatesDialog.java","772","Vorlagen","jPanel1.setBorder(javax.swing.BorderFactory.createTitledBorder(""Vorlagen""));"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\configuration\CalendarEntryTemplatesDialog.java","779","zweiter Eintrag","""Name"", ""zweiter Eintrag"""
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\configuration\CalendarEntryTemplatesDialog.java","872","zweiter Eintrag - bspw. für Vorfristen (optional)","jLabel4.setText(""zweiter Eintrag - bspw. für Vorfristen (optional)"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\configuration\CalendarEntryTemplatesDialog.java","876","Vorlagen - Konfiguration","jLabel5.setText(""Vorlagen - Konfiguration"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\configuration\CalendarEntryTemplatesDialog.java","894","<html>zeitlicher Versatz für den zweiten Eintrag, als Anzahl an Tagen:<br/><ul><li>negativer Wert: zweiter Eintrag liegt zeitlich vor dem Haupteintrag</li><li>positiver Wert: zweiter Eintrag liegt zeitlich nach dem Haupteintrag</li></ul></html>","jLabel6.setToolTipText(""<html>zeitlicher Versatz für den zweiten Eintrag, als Anzahl an Tagen:<br/><ul><li>negativer Wert: zweiter Eintrag liegt zeitlich vor dem Haupteintrag</li><li>positiver Wert: zweiter Eintrag liegt zeitlich nach dem Haupteintrag</li></ul></html>"");"
